"Sesame seeds"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7.1 2017-03-29
Full Report (All Nutrients)
Report Run at: May 21, 2017 12:31 EDT
"Nutrient data for: 12023, Seeds, sesame seeds, whole, dried"
Food Group:  Nut and Seed Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.3 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 144.0g","1 tbsp = 9.0g",
Proximates
"Water",g,4.69,65,0.180,6.75,0.42
"Energy",kcal,573,--,--,825,52
"Energy",kJ,2397,--,--,3452,216
"Protein",g,17.73,61,0.256,25.53,1.60
"Total lipid (fat)",g,49.67,58,0.501,71.52,4.47
"Ash",g,4.45,59,0.152,6.41,0.40
"Carbohydrate, by difference",g,23.45,--,--,33.77,2.11
"Fiber, total dietary",g,11.8,--,--,17.0,1.1
"Sugars, total",g,0.30,3,0.006,0.43,0.03
Minerals
"Calcium, Ca",mg,975,21,102.528,1404,88
"Iron, Fe",mg,14.55,16,1.587,20.95,1.31
"Magnesium, Mg",mg,351,3,23.961,505,32
"Phosphorus, P",mg,629,20,23.830,906,57
"Potassium, K",mg,468,4,34.612,674,42
"Sodium, Na",mg,11,3,6.384,16,1
"Zinc, Zn",mg,7.75,4,0.536,11.16,0.70
"Copper, Cu",mg,4.082,4,1.277,5.878,0.367
"Manganese, Mn",mg,2.460,3,0.723,3.542,0.221
"Selenium, Se",µg,34.4,16,6.162,49.5,3.1
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,4,0.000,0.0,0.0
"Thiamin",mg,0.791,8,0.084,1.139,0.071
"Riboflavin",mg,0.247,10,0.034,0.356,0.022
"Niacin",mg,4.515,10,0.227,6.502,0.406
"Pantothenic acid",mg,0.050,1,--,0.072,0.005
"Vitamin B-6",mg,0.790,1,--,1.138,0.071
"Folate, total",µg,97,--,--,140,9
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,97,--,--,140,9
"Folate, DFE",µg,97,--,--,140,9
"Choline, total",mg,25.6,--,--,36.9,2.3
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,0,--,--,0,0
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,5,--,--,7,0
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0
"Vitamin A, IU",IU,9,8,6.094,13,1
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,0,--,--,0,0
"Vitamin E (alpha-tocopherol)",mg,0.25,--,--,0.36,0.02
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,0.0,--,--,0.0,0.0
Lipids
"Fatty acids, total saturated",g,6.957,--,--,10.018,0.626
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000
"14:0",g,0.124,1,--,0.179,0.011
"16:0",g,4.441,761,--,6.395,0.400
"18:0",g,2.090,761,--,3.010,0.188
"Fatty acids, total monounsaturated",g,18.759,--,--,27.013,1.688
"16:1 undifferentiated",g,0.149,17,--,0.215,0.013
"18:1 undifferentiated",g,18.521,761,--,26.670,1.667
"20:1",g,0.070,9,--,0.101,0.006
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,21.773,--,--,31.353,1.960
"18:2 undifferentiated",g,21.375,761,--,30.780,1.924
"18:3 undifferentiated",g,0.376,25,--,0.541,0.034
"18:4",g,0.000,--,--,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
"Phytosterols",mg,714,--,--,1028,64
Amino Acids
"Tryptophan",g,0.388,13,--,0.559,0.035
"Threonine",g,0.736,19,--,1.060,0.066
"Isoleucine",g,0.763,19,--,1.099,0.069
"Leucine",g,1.358,19,--,1.956,0.122
"Lysine",g,0.569,19,--,0.819,0.051
"Methionine",g,0.586,19,--,0.844,0.053
"Cystine",g,0.358,10,--,0.516,0.032
"Phenylalanine",g,0.940,19,--,1.354,0.085
"Tyrosine",g,0.743,14,--,1.070,0.067
"Valine",g,0.990,19,--,1.426,0.089
"Arginine",g,2.630,18,--,3.787,0.237
"Histidine",g,0.522,18,--,0.752,0.047
"Alanine",g,0.927,13,--,1.335,0.083
"Aspartic acid",g,1.646,13,--,2.370,0.148
"Glutamic acid",g,3.955,13,--,5.695,0.356
"Glycine",g,1.215,13,--,1.750,0.109
"Proline",g,0.810,13,--,1.166,0.073
"Serine",g,0.967,13,--,1.392,0.087
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0
Flavonoids
Isoflavones
"Daidzein",mg,0.00,2,--,0.00,0.00
"Genistein",mg,0.00,2,--,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00
"Total isoflavones",mg,0.01,2,--,0.01,0.00
"Formononetin",mg,0.00,1,--,0.01,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","Variability of  the sugar content of foods",1989,,BeltsvilleMD
2,"P.P. Sirichakwal, P. Puwastien, J. Polngam, R. Kongkachuichai","Selenium content of Thai foods",2005,J Food Comp Anal,18MD pp. 47-47
3,"R. Abdulah, K. Miyazaki, M. Nakazawa, H. Koyama","Low contribution of rice and vegetables to the daily intake of selenium in Japan",2005,International Journal of Food Science and Nutrition,567 pp. 463-463
4,"E.C. Pappa, A.C. Pappas, P.F. Surai","Selenium content in selected foods from the Greek market and estimation of the daily intake",2006,Science of the Total Environment,3727 pp. 100-100
5,"A. Askar, H.J. Bielig","Selenium content of food consumed by Egyptians",1983,Food Chemistry,107 pp. 231-231
