"Green Peas"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.4 2017-10-02
Full Report (All Nutrients)
Report Run at: December 01, 2017 12:22 EST
"Nutrient data for: 11813, Peas, green, canned, no salt added, drained solids"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 6.25 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"0.5 cup = 85.0g","1 can (303 x 406) = 313.0g",
Proximates
"Water",g,81.70,11,0.788,69.44,255.72
"Energy",kcal,69,--,--,59,216
"Energy",kJ,289,--,--,246,905
"Protein",g,4.42,11,0.174,3.76,13.83
"Total lipid (fat)",g,0.35,11,0.028,0.30,1.10
"Ash",g,0.97,11,0.058,0.82,3.04
"Carbohydrate, by difference",g,12.58,--,--,10.69,39.38
"Fiber, total dietary",g,4.1,--,--,3.5,12.8
"Sugars, total",g,4.16,--,--,3.54,13.02
"Sucrose",g,3.83,--,--,3.26,11.99
"Glucose (dextrose)",g,0.11,--,--,0.09,0.34
"Fructose",g,0.13,--,--,0.11,0.41
"Lactose",g,0.00,--,--,0.00,0.00
"Maltose",g,0.09,--,--,0.08,0.28
"Galactose",g,0.00,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,20,6,1.769,17,63
"Iron, Fe",mg,0.95,11,0.137,0.81,2.97
"Magnesium, Mg",mg,17,6,0.469,14,53
"Phosphorus, P",mg,67,6,1.901,57,210
"Potassium, K",mg,173,6,16.888,147,541
"Sodium, Na",mg,2,--,--,2,6
"Zinc, Zn",mg,0.71,11,0.085,0.60,2.22
"Copper, Cu",mg,0.082,11,0.007,0.070,0.257
"Manganese, Mn",mg,0.303,10,0.033,0.258,0.948
"Selenium, Se",µg,1.7,16,0.460,1.4,5.3
Vitamins
"Vitamin C, total ascorbic acid",mg,9.6,6,1.271,8.2,30.0
"Thiamin",mg,0.121,6,0.011,0.103,0.379
"Riboflavin",mg,0.078,6,0.005,0.066,0.244
"Niacin",mg,0.732,6,0.048,0.622,2.291
"Pantothenic acid",mg,0.128,--,--,0.109,0.401
"Vitamin B-6",mg,0.064,6,0.003,0.054,0.200
"Folate, total",µg,44,4,6.200,37,138
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,44,4,6.200,37,138
"Folate, DFE",µg,44,--,--,37,138
"Choline, total",mg,0.0,--,--,36.9,2.3
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,27,--,--,23,85
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,320,1,--,272,1002
"Carotene, alpha",µg,0,1,--,0,0
"Cryptoxanthin, beta",µg,0,1,--,0,0
"Vitamin A, IU",IU,533,--,--,453,1668
"Lycopene",µg,0,1,--,0,0
"Lutein + zeaxanthin",µg,1350,1,--,1148,4226
"Vitamin E (alpha-tocopherol)",mg,0.03,--,--,0.03,0.09
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
"Tocopherol, beta",mg,0.00,--,--,0.00,0.00
"Tocopherol, gamma",mg,2.21,--,--,1.88,6.92
"Tocopherol, delta",mg,0.04,--,--,0.03,0.13
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,21.4,--,--,18.2,67.0
Lipids
"Fatty acids, total saturated",g,0.062,--,--,0.053,0.194
"16:0",g,0.056,--,--,0.048,0.175
"18:0",g,0.006,--,--,0.005,0.019
"Fatty acids, total monounsaturated",g,0.031,--,--,0.026,0.097
"18:1 undifferentiated",g,0.031,--,--,0.026,0.097
"Fatty acids, total polyunsaturated",g,0.163,--,--,0.139,0.510
"18:2 undifferentiated",g,0.132,--,--,0.112,0.413
"18:3 undifferentiated",g,0.031,--,--,0.026,0.097
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
Amino Acids
"Tryptophan",g,0.030,--,--,0.025,0.094
"Threonine",g,0.165,--,--,0.140,0.516
"Isoleucine",g,0.159,--,--,0.135,0.498
"Leucine",g,0.264,--,--,0.224,0.826
"Lysine",g,0.259,--,--,0.220,0.811
"Methionine",g,0.067,--,--,0.057,0.210
"Cystine",g,0.026,--,--,0.022,0.081
"Phenylalanine",g,0.163,--,--,0.139,0.510
"Tyrosine",g,0.093,--,--,0.079,0.291
"Valine",g,0.192,--,--,0.163,0.601
"Arginine",g,0.349,--,--,0.297,1.092
"Histidine",g,0.087,--,--,0.074,0.272
"Alanine",g,0.196,--,--,0.167,0.613
"Aspartic acid",g,0.404,--,--,0.343,1.265
"Glutamic acid",g,0.604,--,--,0.513,1.891
"Glycine",g,0.150,--,--,0.128,0.469
"Proline",g,0.141,--,--,0.120,0.441
"Serine",g,0.148,--,--,0.126,0.463
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0


Sources of Data
1,"National Institutes of Health (NIH)","Carotenoid analyses of U.S. foods, Food Composition Laboratory",1997,,
