"Seeds, sunflower"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-22
Full Report (All Nutrients)
Report Run at: March 01, 2017 11:12 EST
"Nutrient data for: 12036, Seeds, sunflower seed kernels, dried"
Food Group:  Nut and Seed Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.3 
Refuse: 46% Refuse Description: Hulls 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, with hulls, edible yield = 46.0g","1 cup = 140.0g",
Proximates
"Water",g,4.73,5,0.255,2.18,6.62
"Energy",kcal,584,--,--,269,818
"Energy",kJ,2445,--,--,1125,3423
"Protein",g,20.78,2,--,9.56,29.09
"Total lipid (fat)",g,51.46,2,--,23.67,72.04
"Ash",g,3.02,2,--,1.39,4.23
"Carbohydrate, by difference",g,20.00,--,--,9.20,28.00
"Fiber, total dietary",g,8.6,5,1.883,4.0,12.0
"Sugars, total",g,2.62,--,--,1.21,3.67
"Sucrose",g,2.50,3,0.231,1.15,3.50
Minerals
"Calcium, Ca",mg,78,2,--,36,109
"Iron, Fe",mg,5.25,2,--,2.42,7.35
"Magnesium, Mg",mg,325,2,--,150,455
"Phosphorus, P",mg,660,2,--,304,924
"Potassium, K",mg,645,2,--,297,903
"Sodium, Na",mg,9,2,--,4,13
"Zinc, Zn",mg,5.00,2,--,2.30,7.00
"Copper, Cu",mg,1.800,2,--,0.828,2.520
"Manganese, Mn",mg,1.950,2,--,0.897,2.730
"Selenium, Se",µg,53.0,11,8.050,24.4,74.2
Vitamins
"Vitamin C, total ascorbic acid",mg,1.4,--,--,0.6,2.0
"Thiamin",mg,1.480,2,--,0.681,2.072
"Riboflavin",mg,0.355,2,--,0.163,0.497
"Niacin",mg,8.335,2,--,3.834,11.669
"Pantothenic acid",mg,1.130,2,--,0.520,1.582
"Vitamin B-6",mg,1.345,2,--,0.619,1.883
"Folate, total",µg,227,--,--,104,318
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,227,--,--,104,318
"Folate, DFE",µg,227,--,--,104,318
"Choline, total",mg,55.1,--,--,25.3,77.1
"Betaine",mg,35.4,2,--,16.3,49.6
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,3,--,--,1,4
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,30,--,--,14,42
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0
"Vitamin A, IU",IU,50,--,--,23,70
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,0,--,--,0,0
"Vitamin E (alpha-tocopherol)",mg,35.17,5,4.981,16.18,49.24
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
"Tocopherol, beta",mg,1.18,4,0.125,0.54,1.65
"Tocopherol, gamma",mg,0.37,4,0.178,0.17,0.52
"Tocopherol, delta",mg,0.02,4,0.015,0.01,0.03
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,0.0,1,--,0.0,0.0
Lipids
"Fatty acids, total saturated",g,4.455,--,--,2.049,6.237
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,2,--,0.000,0.000
"10:0",g,0.000,2,--,0.000,0.000
