"Canned chickpeas"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.1 2017-07-28
Full Report (All Nutrients)
Report Run at: September 07, 2017 08:20 EDT
"Nutrient data for: 16359, Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water"
Food Group:  Legumes and Legume Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 6.25 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 can drained, rinsed = 254.0g","1 cup drained, rinsed = 152.0g",
Proximates
"Water",g,66.87,4,0.536,169.85,101.64
"Energy",kcal,138,--,--,351,210
"Energy",kJ,578,--,--,1468,879
"Protein",g,7.04,4,0.244,17.88,10.70
"Total lipid (fat)",g,2.47,4,0.144,6.27,3.75
"Ash",g,0.74,4,0.042,1.88,1.12
"Carbohydrate, by difference",g,22.87,--,--,58.09,34.76
"Fiber, total dietary",g,6.3,--,--,16.0,9.6
"Sugars, total",g,4.00,--,--,10.16,6.08
Minerals
"Calcium, Ca",mg,43,4,4.856,109,65
"Iron, Fe",mg,0.98,4,0.048,2.49,1.49
"Magnesium, Mg",mg,24,4,1.377,61,36
"Phosphorus, P",mg,80,4,5.532,203,122
"Potassium, K",mg,109,4,8.104,277,166
"Sodium, Na",mg,212,4,17.318,538,322
"Zinc, Zn",mg,0.59,4,0.074,1.50,0.90
"Copper, Cu",mg,0.250,4,0.015,0.635,0.380
"Manganese, Mn",mg,0.800,4,0.163,2.032,1.216
"Selenium, Se",µg,3.1,--,--,7.9,4.7
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,4,0.054,0.3,0.2
"Thiamin",mg,0.025,4,0.003,0.064,0.038
"Riboflavin",mg,0.015,4,0.000,0.038,0.023
"Niacin",mg,0.125,4,0.006,0.318,0.190
"Pantothenic acid",mg,0.299,0,0,0,0
"Vitamin B-6",mg,0.116,--,--,0.295,0.176
"Folate, total",µg,41,--,--,104,62
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,41,--,--,104,62
"Folate, DFE",µg,41,--,--,104,62
"Choline, total",mg,10,0,0,0,0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,1,--,--,3,2
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,13,--,--,33,20
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0
"Vitamin A, IU",IU,22,--,--,56,33
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,0,--,--,0,0
"Vitamin E (alpha-tocopherol)",mg,0.29,--,--,0.74,0.44
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,3.4,--,--,8.6,5.2
Lipids
"Fatty acids, total saturated",g,0.213,--,--,0.541,0.324
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000
"14:0",g,0.003,--,--,0.008,0.005
"16:0",g,0.179,--,--,0.455,0.272
"18:0",g,0.031,--,--,0.079,0.047
"Fatty acids, total monounsaturated",g,0.485,--,--,1.232,0.737
"16:1 undifferentiated",g,0.004,--,--,0.010,0.006
"18:1 undifferentiated",g,0.481,--,--,1.222,0.731
"20:1",g,0.000,--,--,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.962,--,--,2.443,1.462
"18:2 undifferentiated",g,0.927,--,--,2.355,1.409
"18:3 undifferentiated",g,0.036,--,--,0.091,0.055
"18:4",g,0.000,--,--,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
Amino Acids
"Tryptophan",g,0.069,--,--,0.175,0.105
"Threonine",g,0.263,--,--,0.668,0.400
"Isoleucine",g,0.303,--,--,0.770,0.461
"Leucine",g,0.503,--,--,1.278,0.765
"Lysine",g,0.473,--,--,1.201,0.719
"Methionine",g,0.093,--,--,0.236,0.141
"Cystine",g,0.096,--,--,0.244,0.146
"Phenylalanine",g,0.379,--,--,0.963,0.576
"Tyrosine",g,0.176,--,--,0.447,0.268
"Valine",g,0.298,--,--,0.757,0.453
"Arginine",g,0.667,--,--,1.694,1.014
"Histidine",g,0.195,--,--,0.495,0.296
"Alanine",g,0.303,--,--,0.770,0.461
"Aspartic acid",g,0.832,--,--,2.113,1.265
"Glutamic acid",g,1.239,--,--,3.147,1.883
"Glycine",g,0.295,--,--,0.749,0.448
"Proline",g,0.292,--,--,0.742,0.444
"Serine",g,0.356,--,--,0.904,0.541
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 14e",2010,,BeltsvilleMD
Footnotes
(a)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, 5-Formyltetrahydrofolic acid"
(a)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, 5-Formyltetrahydrofolic acid"
(a)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, 5-Formyltetrahydrofolic acid"
