"oats"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-22
Full Report (All Nutrients)
Report Run at: February 26, 2017 15:57 EST
"Nutrient data for: 08120, Cereals, oats, regular and quick, not fortified, dry"
Food Group:  Breakfast Cereals
Common Name:oatmeal, old-fashioned oats, rolled oats
Carbohydrate Factor: 4.12 Fat Factor: 8.37 Protein Factor: 3.46 Nitrogen to Protein Conversion Factor: 5.83 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 81.0g","0.333 cup = 27.0g",
Proximates
"Water",g,10.84,4,0.302,8.78,2.93
"Energy",kcal,379,--,--,307,102
"Energy",kJ,1586,--,--,1285,428
"Protein",g,13.15,4,0.053,10.65,3.55
"Total lipid (fat)",g,6.52,4,0.182,5.28,1.76
"Ash",g,1.77,4,0.018,1.43,0.48
"Carbohydrate, by difference",g,67.70,--,--,54.84,18.28
"Fiber, total dietary",g,10.1,4,0.473,8.2,2.7
"Sugars, total",g,0.99,4,0.022,0.80,0.27
"Sucrose",g,0.99,4,0.022,0.80,0.27
"Glucose (dextrose)",g,0.00,4,0.000,0.00,0.00
"Fructose",g,0.00,4,0.000,0.00,0.00
"Lactose",g,0.00,4,0.000,0.00,0.00
"Maltose",g,0.00,4,0.000,0.00,0.00
"Galactose",g,0.00,4,0.000,0.00,0.00
"Starch",g,57.92,4,0.189,46.92,15.64
Minerals
"Calcium, Ca",mg,52,33,0.923,42,14
"Iron, Fe",mg,4.25,4,0.065,3.44,1.15
"Magnesium, Mg",mg,138,4,1.732,112,37
"Phosphorus, P",mg,410,4,10.553,332,111
"Potassium, K",mg,362,4,4.210,293,98
"Sodium, Na",mg,6,4,0.409,5,2
"Zinc, Zn",mg,3.64,4,0.095,2.95,0.98
"Copper, Cu",mg,0.391,4,0.008,0.317,0.106
"Manganese, Mn",mg,3.630,5,0.001,2.940,0.980
"Selenium, Se",µg,28.9,4,1.700,23.4,7.8
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,4,0.000,0.0,0.0
"Thiamin",mg,0.460,4,0.034,0.373,0.124
"Riboflavin",mg,0.155,4,0.058,0.126,0.042
"Niacin",mg,1.125,4,0.048,0.911,0.304
"Pantothenic acid",mg,1.120,4,0.066,0.907,0.302
"Vitamin B-6",mg,0.100,4,0.004,0.081,0.027
"Folate, total",µg,32,24,3.485,26,9
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,32,--,--,26,9
"Folate, DFE",µg,32,--,--,26,9
"Choline, total",mg,40.4,--,--,32.7,10.9
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,0,1,--,0,0
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,0,1,--,0,0
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0
"Vitamin A, IU",IU,0,1,--,0,0
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,180,1,--,146,49
"Vitamin E (alpha-tocopherol)",mg,0.42,4,0.037,0.34,0.11
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
