Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-22
Full Report (All Nutrients)
Report Run at: March 01, 2017 11:11 EST
"Nutrient data for: 04053, Oil, olive, salad or cooking"
Food Group:  Fats and Oils
Common Name:
Fat Factor: 8.84 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 tablespoon = 13.5g","1 cup = 216.0g","1 tsp = 4.5g",
Proximates
"Water",g,0.00,4,0.000,0.00,0.00,0.00
"Energy",kcal,884,--,--,119,1909,40
"Energy",kJ,3699,--,--,499,7990,166
"Protein",g,0.00,4,0.000,0.00,0.00,0.00
"Total lipid (fat)",g,100.00,--,--,13.50,216.00,4.50
"Ash",g,0.00,4,0.000,0.00,0.00,0.00
"Carbohydrate, by difference",g,0.00,--,--,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,--,--,0.0,0.0,0.0
"Sugars, total",g,0.00,--,--,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,1,4,0.189,0,2,0
"Iron, Fe",mg,0.56,4,0.081,0.08,1.21,0.03
"Magnesium, Mg",mg,0,4,0.050,0,0,0
"Phosphorus, P",mg,0,4,0.000,0,0,0
"Potassium, K",mg,1,4,0.149,0,2,0
"Sodium, Na",mg,2,4,0.323,0,4,0
"Zinc, Zn",mg,0.00,4,0.000,0.00,0.00,0.00
"Copper, Cu",mg,0.000,4,0.000,0.000,0.000,0.000
"Manganese, Mn",mg,0.000,4,0.000,0.000,0.000,0.000
"Selenium, Se",µg,0.0,2,--,0.0,0.0,0.0
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,--,--,0.0,0.0,0.0
"Thiamin",mg,0.000,--,--,0.000,0.000,0.000
"Riboflavin",mg,0.000,--,--,0.000,0.000,0.000
"Niacin",mg,0.000,--,--,0.000,0.000,0.000
"Pantothenic acid",mg,0.000,--,--,0.000,0.000,0.000
"Vitamin B-6",mg,0.000,--,--,0.000,0.000,0.000
"Folate, total",µg,0,--,--,0,0,0
"Folic acid",µg,0,--,--,0,0,0
"Folate, food",µg,0,--,--,0,0,0
"Folate, DFE",µg,0,--,--,0,0,0
"Choline, total",mg,0.3,--,--,0.0,0.6,0.0
"Betaine",mg,0.1,--,--,0.0,0.2,0.0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,--,--,0,0,0
"Retinol",µg,0,--,--,0,0,0
"Carotene, beta",µg,0,--,--,0,0,0
"Carotene, alpha",µg,0,--,--,0,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0,0
"Vitamin A, IU",IU,0,--,--,0,0,0
"Lycopene",µg,0,--,--,0,0,0
"Lutein + zeaxanthin",µg,0,--,--,0,0,0
"Vitamin E (alpha-tocopherol)",mg,14.35,6,1.535,1.94,31.00,0.65
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00
"Tocopherol, beta",mg,0.11,6,0.052,0.01,0.24,0.00
"Tocopherol, gamma",mg,0.83,6,0.184,0.11,1.79,0.04
"Tocopherol, delta",mg,0.00,6,0.000,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0
"Vitamin K (phylloquinone)",µg,60.2,2,--,8.1,130.0,2.7
Lipids
"Fatty acids, total saturated",g,13.808,--,--,1.864,29.825,0.621
"4:0",g,0.000,4,0.000,0.000,0.000,0.000
"6:0",g,0.000,4,0.000,0.000,0.000,0.000
"8:0",g,0.000,4,0.000,0.000,0.000,0.000
"10:0",g,0.000,4,0.000,0.000,0.000,0.000
"12:0",g,0.000,4,0.000,0.000,0.000,0.000
"14:0",g,0.000,4,0.000,0.000,0.000,0.000
"16:0",g,11.290,4,0.583,1.524,24.386,0.508
"17:0",g,0.022,3,0.023,0.003,0.048,0.001
"18:0",g,1.953,4,0.024,0.264,4.218,0.088
"20:0",g,0.414,4,0.003,0.056,0.894,0.019
"22:0",g,0.129,4,0.003,0.017,0.279,0.006
"24:0",g,0.000,4,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,72.961,--,--,9.850,157.596,3.283
